docId,filename,0 lb term persname,1 lb choice rend,2 lb add del,3 seg rend fw,4 xml facs lry,5 lb term type,6 lb placename reg,7 choice expan abbr,8 seg rend date,9 lb xml id
456,liv_001599_TEI.xml,0.002355386895262999,1.674801158608925E-5,1.2789923677854937E-5,0.06718897968159579,4.6218694758141467E-7,0.03857541405172689,0.6388088074155805,3.9568178619639016E-5,0.15689476149915496,0.09610708215584768
457,liv_001603_TEI.xml,0.19578595379277233,9.524627599089786E-5,7.273655109812027E-5,0.0031846013413334372,2.6284663909173555E-6,2.2738693441563687E-4,0.2579812916473846,2.2502502114302029E-4,1.0388355163714218E-4,0.5423212464178339
458,liv_001604_TEI.xml,5.421739940071121E-4,7.705271583700783E-5,5.8842707963333435E-5,0.10780664840822773,2.1263873238029296E-6,0.013909651109864467,0.4626281701902711,1.8204164761262466E-4,8.404013386518955E-5,0.4147092527050277
459,liv_001612_TEI.xml,0.08467281112246179,6.596189533871868E-5,5.037300115851326E-5,0.06780989923677667,1.82031920067509E-6,0.0021158159581837984,0.5174555181176662,1.558389211421487E-4,7.194355778443652E-5,0.327600017870287
460,liv_001614_TEI.xml,0.16199096087844664,9.527727670459604E-4,4.592147046804336E-5,0.006473765244085759,1.659455114718454E-6,1.435583930766884E-4,0.41906150867694975,1.4206722352081783E-4,6.558580763865454E-5,0.41112220008365286
461,liv_001615_TEI.xml,0.3484851196964113,6.494442847812048E-5,4.959599408367899E-5,0.05037478978799712,1.7922406493707835E-6,0.07631632928296198,0.1489127165021459,0.015578505211072003,0.0019989675878881144,0.3582172392683123
462,liv_001616_TEI.xml,0.08159758113324923,6.212927976904239E-5,4.744615456715832E-5,0.040812972287290555,1.714552323079126E-6,1.4832481708244497E-4,0.48277816534497814,1.4678413773327404E-4,9.90040823819019E-4,0.39341484146918787
463,liv_001620_TEI.xml,0.008339865627070077,0.0013749877242791074,6.627126672624483E-5,0.03253030725008569,2.394831685633165E-6,0.0040717979643758355,0.429569622380323,2.050233750584494E-4,9.464972500177553E-5,0.5237450798553942
464,liv_001624_TEI.xml,0.13222244718431211,0.0011523230400904342,5.55393376945735E-5,0.01538681303458,2.007014084391589E-6,0.048755444865458394,0.32869709278236553,0.01852495377506571,7.932220552365465E-5,0.45512405676082524
465,liv_001629_TEI.xml,0.02576252098834775,9.931859541835962E-5,7.584645190045448E-5,3.720934612186909E-4,2.740848262405811E-6,0.006134444378408228,0.3191388081169343,2.3464611924614492E-4,1.083251636699957E-4,0.6480712558765936
